panel_id	group_col	K	sample_id	top_group	top_posterior	second_group	second_posterior	posterior_gap	n_snps_used	confidence	status	note
P2_subregion_within_africa	subregion	1000	FAVV_5	E_Africa	1	W_Africa	2.30067671333e-16	1	999	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_6	W_Africa	1	E_Africa	1.19601640634199e-18	1	999	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_7	E_Africa	1	W_Africa	2.44663612775688e-30	1	999	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_11	E_Africa	0.999997989735381	W_Africa	2.01026461955972e-06	0.999995979470761	1000	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_12	W_Africa	0.999999988515343	E_Africa	1.14846575180551e-08	0.999999977030685	998	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_13	W_Africa	0.999999999999784	E_Africa	2.15628985289583e-13	0.999999999999569	997	High	ok	""
P2_subregion_within_africa	subregion	2000	Bd_2023_7	W_Africa	0.999991157821192	E_Africa	8.84217880780963e-06	0.999982315642384	1996	High	ok	""
P2_subregion_within_africa	subregion	2000	Bd_2024_2	W_Africa	0.999999999996219	E_Africa	3.78091049331874e-12	0.999999999992438	1998	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_1	E_Africa	0.999999999999647	W_Africa	3.52753890491246e-13	0.999999999999294	1998	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_2	E_Africa	0.853894462978456	W_Africa	0.146105537021544	0.707788925956912	1996	Moderate	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_3	W_Africa	0.999999999999961	E_Africa	3.90855679457426e-14	0.999999999999922	1998	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_4	W_Africa	1	E_Africa	2.74677176862838e-34	1	1998	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_5	E_Africa	1	W_Africa	1.58440123330592e-21	1	1998	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_6	W_Africa	1	E_Africa	4.48252564397843e-41	1	1997	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_7	E_Africa	1	W_Africa	1.43615820709829e-48	1	1998	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_11	E_Africa	0.99999999937521	W_Africa	6.24789833669235e-10	0.99999999875042	1999	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_12	W_Africa	1	E_Africa	3.9641310401561e-16	1	1996	High	ok	""
P2_subregion_within_africa	subregion	2000	FAVV_13	W_Africa	1	E_Africa	4.24062565052894e-16	1	1993	High	ok	""
P2_subregion_within_africa	subregion	5000	Bd_2023_7	E_Africa	0.999999138597232	W_Africa	8.61402768244823e-07	0.999998277194463	4994	High	ok	""
P2_subregion_within_africa	subregion	5000	Bd_2024_2	E_Africa	0.999959369338436	W_Africa	4.06306615639706e-05	0.999918738676872	4997	High	ok	""
P2_subregion_within_africa	subregion	5000	FAVV_1	E_Africa	1	W_Africa	5.33131094578182e-17	1	4996	High	ok	""
