full_path	relative_path	size_bytes	modified_time	extension	top_level	second_level	excluded	include_in_github_candidate	size_mb	size_gb	human_size
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/07_authority_report/FINAL_origin_tracing_authority_simplified.tsv	results/07_authority_report/FINAL_origin_tracing_authority_simplified.tsv	21511	2026-05-18 15:34:19.637854	tsv	results	results/07_authority_report	FALSE	TRUE	0.021	0	21 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/04_origin_assignment/P2_africa_subregion_raw.tsv	results/04_origin_assignment/P2_africa_subregion_raw.tsv	20488	2026-05-18 15:30:05.344606	tsv	results	results/04_origin_assignment	FALSE	TRUE	0.02	0	20 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/step1_2_run_info.rds	results/01_qc/step1_2_run_info.rds	19806	2026-05-18 14:04:01.341618	rds	results	results/01_qc	FALSE	TRUE	0.019	0	19.3 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/05_loo_validation/LOO_P2_africa_subregion_loo_raw.tsv.gz	results/05_loo_validation/LOO_P2_africa_subregion_loo_raw.tsv.gz	17967	2026-05-18 15:31:49.279026	gz	results	results/05_loo_validation	FALSE	TRUE	0.017	0	17.5 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/05_loo_validation/LOO_P2_africa_subregion_loo_predictions.tsv	results/05_loo_validation/LOO_P2_africa_subregion_loo_predictions.tsv	16075	2026-05-18 15:31:49.263031	tsv	results	results/05_loo_validation	FALSE	TRUE	0.015	0	15.7 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/og_panel_topK_2000.txt	results/02_snp_panels/panels/P2_subregion_within_africa/og_panel_topK_2000.txt	15617	2026-05-18 14:57:01.920364	txt	results	results/02_snp_panels	FALSE	TRUE	0.015	0	15.3 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/og_panel_topK_2000.txt	results/02_snp_panels/panels/P3_subregion_within_asia/og_panel_topK_2000.txt	15617	2026-05-18 15:29:26.480419	txt	results	results/02_snp_panels	FALSE	TRUE	0.015	0	15.3 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/og_panel_topK_2000.txt	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/og_panel_topK_2000.txt	15547	2026-05-18 14:35:59.321405	txt	results	results/02_snp_panels	FALSE	TRUE	0.015	0	15.2 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/06_rf_corroboration/RF_all_panels_predictions_queries.tsv	results/06_rf_corroboration/RF_all_panels_predictions_queries.tsv	15312	2026-05-18 15:34:17.618742	tsv	results	results/06_rf_corroboration	FALSE	TRUE	0.015	0	15 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/step3_run_info.rds	results/02_snp_panels/step3_run_info.rds	14856	2026-05-18 15:29:26.973404	rds	results	results/02_snp_panels	FALSE	TRUE	0.014	0	14.5 KB
