og	label	allowed_extra
OG10305	Blati	TRUE
OG10306	Bdors	TRUE
OG10306	Blati	TRUE
OG10307	Bdors	TRUE
OG10307	Blati	TRUE
OG10308	Bdors	TRUE
OG10308	Blati	TRUE
OG10309	Bdors	TRUE
OG10309	Blati	TRUE
OG1031	Bdors	TRUE
OG1031	Blati	TRUE
OG10310	Bdors	TRUE
OG10310	Blati	TRUE
OG10311	Bdors	TRUE
OG10311	Blati	TRUE
OG10312	Bdors	TRUE
OG10312	Blati	TRUE
OG10313	Bdors	TRUE
OG10313	Blati	TRUE
OG10314	Bdors	TRUE
OG10314	Blati	TRUE
OG10315	Bdors	TRUE
OG10315	Blati	TRUE
OG10316	Bdors	TRUE
OG10316	Blati	TRUE
OG10317	Bdors	TRUE
OG10317	Blati	TRUE
OG10318	Bdors	TRUE
OG10318	Blati	TRUE
OG10319	Bdors	TRUE
OG10319	Blati	TRUE
OG1032	Bdors	TRUE
OG1032	Blati	TRUE
OG10320	Bdors	TRUE
OG10320	Blati	TRUE
OG10321	Bdors	TRUE
OG10321	Blati	TRUE
OG10322	Bdors	TRUE
OG10322	Blati	TRUE
OG10323	Bdors	TRUE
OG10323	Blati	TRUE
OG10324	Bdors	TRUE
OG10324	Blati	TRUE
OG10325	Bdors	TRUE
OG10325	Blati	TRUE
OG10326	Bdors	TRUE
OG10326	Blati	TRUE
OG10327	Bdors	TRUE
OG10327	Blati	TRUE
OG10328	Bdors	TRUE
OG10328	Blati	TRUE
OG10329	Bdors	TRUE
OG10329	Blati	TRUE
OG1033	Bdors	TRUE
OG1033	Blati	TRUE
OG10330	Bdors	TRUE
OG10330	Blati	TRUE
OG10331	Bdors	TRUE
OG10331	Blati	TRUE
OG10332	Bdors	TRUE
OG10332	Blati	TRUE
OG10333	Bdors	TRUE
OG10333	Blati	TRUE
OG10334	Bdors	TRUE
OG10334	Blati	TRUE
OG10335	Bdors	TRUE
OG10335	Blati	TRUE
OG10336	Bdors	TRUE
OG10336	Blati	TRUE
OG10337	Bdors	TRUE
OG10337	Blati	TRUE
OG10338	Bdors	TRUE
OG10338	Blati	TRUE
OG10339	Bdors	TRUE
OG10339	Blati	TRUE
OG1034	Bdors	TRUE
OG1034	Blati	TRUE
OG10340	Bdors	TRUE
OG10340	Blati	TRUE
OG10341	Bdors	TRUE
OG10341	Blati	TRUE
OG10342	Bdors	TRUE
OG10342	Blati	TRUE
OG10343	Bdors	TRUE
OG10343	Blati	TRUE
OG10344	Bdors	TRUE
OG10344	Blati	TRUE
OG10345	Bdors	TRUE
OG10345	Blati	TRUE
OG10346	Bdors	TRUE
OG10346	Blati	TRUE
OG10347	Bdors	TRUE
OG10347	Blati	TRUE
OG10348	Bdors	TRUE
OG10348	Blati	TRUE
OG10349	Bdors	TRUE
OG10349	Blati	TRUE
OG1035	Bdors	TRUE
OG1035	Blati	TRUE
OG10350	Bdors	TRUE
OG10350	Blati	TRUE
OG10351	Bdors	TRUE
OG10351	Blati	TRUE
OG10352	Bdors	TRUE
OG10352	Blati	TRUE
OG10353	Bdors	TRUE
OG10353	Blati	TRUE
OG10354	Bdors	TRUE
OG10354	Blati	TRUE
OG10355	Bdors	TRUE
OG10355	Blati	TRUE
OG10356	Bdors	TRUE
OG10356	Blati	TRUE
OG10357	Bdors	TRUE
OG10357	Blati	TRUE
OG10358	Bdors	TRUE
OG10358	Blati	TRUE
OG10359	Bdors	TRUE
OG10359	Blati	TRUE
OG1036	Bdors	TRUE
OG1036	Blati	TRUE
OG10360	Bdors	TRUE
OG10360	Blati	TRUE
OG10361	Bdors	TRUE
OG10361	Blati	TRUE
OG10362	Bdors	TRUE
OG10362	Blati	TRUE
OG10363	Bdors	TRUE
OG10363	Blati	TRUE
OG10364	Bdors	TRUE
OG10364	Blati	TRUE
OG10365	Bdors	TRUE
OG10365	Blati	TRUE
OG10366	Bdors	TRUE
OG10366	Blati	TRUE
OG10367	Bdors	TRUE
OG10367	Blati	TRUE
OG10368	Bdors	TRUE
OG10368	Blati	TRUE
