og	sample_id
OG10158	ReuPie1
OG10158	ReuPie4
OG10158	Bd_2023_1
OG10158	Bd_2023_3
OG10159	Bd_2023_1
OG1016	ReuPie4
OG1016	Bd_2023_1
OG10160	ReuPie4
OG10160	Bd_2023_1
OG10160	Bd_2023_2
OG10161	ReuPie1
OG10161	ReuPie4
OG10161	Bd_2023_1
OG10162	NGNS02
OG10162	ReuPie1
OG10162	Bd_2023_1
OG10163	ReuPie1
OG10163	ReuPie4
OG10163	Bd_2023_1
OG10163	Bd_2023_3
OG10164	ReuPie1
OG10164	ReuPie4
OG10164	Bd_2023_1
OG10164	Bd_2023_3
OG10165	ReuPie4
OG10165	Bd_2023_1
OG10166	ReuPie1
OG10166	Bd_2023_1
OG10166	Bd_2023_2
OG10168	ReuPie1
OG10168	ReuPie4
OG10168	Bd_2023_1
OG10168	Bd_2023_2
OG10168	Bd_2023_3
OG10169	Bd_2023_1
OG1017	ReuPie4
OG1017	Bd_2023_1
OG10170	ReuPie1
OG10170	ReuPie4
OG10170	Bd_2023_1
OG10170	Bd_2023_3
OG10171	ReuPie4
OG10171	Bd_2023_1
OG10171	Bd_2023_2
OG10172	ReuPie1
OG10172	ReuPie4
OG10172	Bd_2023_1
OG10172	Bd_2023_3
OG10173	YNJH02
OG10173	YNJH05
OG10173	ReuPie4
OG10173	Bd_2023_1
OG10173	Bd_2023_2
OG10174	ReuPie1
OG10174	Bd_2023_1
OG10176	Bd_2023_1
OG10177	ReuPie1
OG10177	ReuPie4
OG10177	Bd_2023_1
OG10178	Bd_2023_1
OG10179	ReuPie1
OG10179	Bd_2023_1
OG10179	Bd_2023_2
OG10179	Bd_2023_3
OG1018	ReuPie1
OG1018	Bd_2023_1
OG1018	Bd_2023_2
OG1018	Bd_2023_3
OG10180	Bd_2023_3
OG10181	ReuPie1
OG10181	ReuPie4
OG10181	Bd_2023_1
OG10181	Bd_2023_2
OG10181	Bd_2023_3
OG10182	YNJH02
OG10182	YNJH05
OG10183	ReuPie1
OG10183	Bd_2023_1
OG10185	ReuPie1
OG10185	ReuPie4
OG10185	Bd_2023_1
OG10186	ReuPie4
OG10186	Bd_2023_1
OG10186	Bd_2023_3
OG10187	ReuPie1
OG10187	Bd_2023_1
OG10187	Bd_2023_3
OG10189	ReuPie4
OG10189	Bd_2023_2
OG10189	Bd_2023_3
OG1019	Bd_2023_1
OG1019	Bd_2023_3
OG10190	ReuPie1
OG10190	ReuPie4
OG10190	Bd_2023_3
OG10191	ReuPie1
OG10191	ReuPie4
OG10191	Bd_2023_1
OG10192	ReuPie4
OG10192	Bd_2023_1
OG10192	Bd_2023_2
OG10193	ReuPie1
OG10193	Bd_2023_1
OG10193	Bd_2023_2
OG10193	Bd_2023_3
OG10194	ReuPie4
OG10194	Bd_2023_1
OG10194	Bd_2023_3
OG10195	ReuPal4
OG10195	ReuPie1
OG10195	ReuPie4
OG10195	Bd_2023_1
OG10195	Bd_2023_3
OG10196	ReuPie1
OG10196	ReuPie4
OG10196	Bd_2023_2
OG10197	ReuPie1
OG10197	Bd_2023_1
OG10198	Bd_2023_1
OG10198	Bd_2023_3
OG10199	ReuPie1
OG10199	ReuPie4
OG10199	Bd_2023_1
OG10199	Bd_2023_3
OG102	ReuPie4
OG102	Bd_2023_1
OG1020	Bd_2023_1
OG10200	ReuPie1
OG10200	Bd_2023_1
OG10201	ReuPie4
OG10201	Bd_2023_1
OG10201	Bd_2023_3
OG10202	YNJH05
OG10203	ReuPie1
OG10203	ReuPie4
OG10203	Bd_2023_1
OG10203	Bd_2023_2
OG10203	Bd_2023_3
OG10204	Bd_2023_1
OG10206	Bd_2023_1
OG10207	ReuPie4
OG10207	Bd_2023_1
OG10208	ReuPie1
OG10208	Bd_2023_1
OG10208	Bd_2023_2
OG10209	ReuPie4
OG10209	Bd_2023_1
OG10209	Bd_2023_2
OG1021	ReuPie1
OG1021	ReuPie4
OG1021	Bd_2023_1
OG1021	Bd_2023_2
OG10210	ReuPie1
OG10210	Bd_2023_1
OG10210	Bd_2023_3
OG10211	ReuPie1
OG10211	ReuPie4
OG10212	Bd_2023_1
OG10212	Bd_2023_2
OG10212	Bd_2023_3
OG10213	ReuPie1
OG10213	ReuPie4
OG10213	Bd_2023_1
OG10213	Bd_2023_2
OG10214	Bd_2023_1
OG10214	Bd_2023_2
OG10214	Bd_2023_3
OG10215	ReuPie1
OG10215	Bd_2023_1
OG10215	Bd_2023_2
OG10216	ReuPie1
OG10216	Bd_2023_1
OG10217	ReuPie1
OG10217	ReuPie4
OG10217	Bd_2023_1
OG10217	Bd_2023_3
OG10218	Bd_2023_3
OG10219	Bd_2023_1
OG10219	Bd_2023_2
OG10219	Bd_2023_3
OG1022	ReuPie1
OG1022	ReuPie4
OG1022	Bd_2023_1
OG10220	Bd_2023_1
